dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4,error
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5723443031311035,0.3127571940422058,0.36403509974479675,0.0,True,1.402,0.5685,0.6013,0.5387,0.6603,0.521,
chameleon,2,2.0,2.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,2277.0,2325.0,5.0,1092.0,729.0,456.0,0.5915750861167908,0.37997257709503174,0.39254385232925415,0.0,True,1.508,0.6811,0.5681,0.5155,0.7015,0.6525,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.3745993673801422,0.23257210850715637,0.22478386759757996,0.0,True,59.397,,,,,,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.37620192766189575,0.23798076808452606,0.23150816559791565,0.0,True,3.031,,,,,,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,12,0.0,5.0,src_v5_dense_layer1,smooth_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.40985578298568726,0.2578125,0.23054754734039307,0.0,True,2.754,,,,,,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.3802083432674408,0.234375,0.22574447095394135,0.0,True,1.447,,,,,,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.3802083432674408,0.234375,0.22574447095394135,0.0,True,4.058,0.4563,0.511,0.5193,0.4654,0.5374,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.37620192766189575,0.23798076808452606,0.23150816559791565,0.0,True,4.171,0.4635,0.4816,0.5232,0.4502,0.6033,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,src_v5_dense_layer1,hasdc_channel_select_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.40985578298568726,0.2578125,0.23054754734039307,0.0,True,4.175,0.4635,0.4633,0.5386,0.4808,0.6918,
squirrel,0,0.0,0.0,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,src_v5_dense_layer1,hasdc_merged_plain_residual,5201.0,2089.0,5.0,2496.0,1664.0,1041.0,0.38942307233810425,0.24399039149284363,0.2228626310825348,0.0,True,4.645,0.4563,0.511,0.5193,0.4654,0.5374,
