dataset,repeat,split_id,seed,split_policy,method,variant,lam,sub_dim,eta,tau,smooth_backend,scoring_backend,num_nodes,num_features,num_classes,train_size,val_size,test_size,train_acc,val_acc,test_acc,cg_iters,cg_converged,time_sec,g_0,g_1,g_2,g_3,g_4
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,8,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.44188597798347473,0.3149670958518982,0.3210526406764984,0,True,0.986,,,,,
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,12,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.45915570855140686,0.31291118264198303,0.3131578862667084,0,True,1.317,,,,,
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,raw_plain_residual,0.0,16,0.0,5.0,none,raw_plain_residual,7600,932,5,3648,2432,1520,0.4775219261646271,0.30016446113586426,0.30460527539253235,0,True,1.098,,,,,
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.46957236528396606,0.31866776943206787,0.31381580233573914,6,True,3.985,0.4526,0.5463,0.55,0.5062,0.461
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.44188597798347473,0.3149670958518982,0.3210526406764984,8,True,4.404,0.4107,0.5376,0.5772,0.4896,0.4571
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.44188597798347473,0.3149670958518982,0.3210526406764984,13,True,5.28,0.37,0.6085,0.4975,0.446,0.5195
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,5.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.44188597798347473,0.3149670958518982,0.3210526406764984,16,True,6.162,0.3395,0.6249,0.5,0.4564,0.4824
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.47176533937454224,0.31455591320991516,0.30921053886413574,6,True,3.874,0.481,0.5,0.51,0.554,0.4571
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.45915570855140686,0.31291118264198303,0.3131578862667084,8,True,4.377,0.4526,0.552,0.4475,0.5987,0.4206
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.45915570855140686,0.31291118264198303,0.3131578862667084,13,True,5.756,0.4015,0.529,0.5251,0.638,0.2767
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.45915570855140686,0.31291118264198303,0.3131578862667084,16,True,6.072,0.3744,0.5376,0.5201,0.6185,0.2628
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,0.5,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4775219261646271,0.30016446113586426,0.30460527539253235,6,True,3.797,0.4763,0.529,0.5226,0.5229,0.4494
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,1.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4775219261646271,0.30016446113586426,0.30460527539253235,8,True,4.222,0.4245,0.5145,0.51,0.554,0.413
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,3.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4775219261646271,0.30016446113586426,0.30460527539253235,13,True,5.411,0.3834,0.4653,0.4925,0.638,0.3849
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_channel_select,5.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_channel_select_plain_residual,7600,932,5,3648,2432,1520,0.4775219261646271,0.30016446113586426,0.30460527539253235,16,True,6.297,0.37,0.4624,0.4799,0.657,0.3416
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4597039520740509,0.32113486528396606,0.31776314973831177,6,True,4.164,0.4526,0.5463,0.55,0.5062,0.461
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4599780738353729,0.3252467215061188,0.3131578862667084,8,True,4.391,0.4107,0.5376,0.5772,0.4896,0.4571
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4416118562221527,0.31702303886413574,0.31842106580734253,13,True,5.753,0.37,0.6085,0.4975,0.446,0.5195
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,8,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.44490131735801697,0.3149670958518982,0.31842106580734253,16,True,6.189,0.3395,0.6249,0.5,0.4564,0.4824
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4676535129547119,0.3162006437778473,0.3151315748691559,6,True,4.339,0.481,0.5,0.51,0.554,0.4571
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.46436402201652527,0.32072368264198303,0.30921053886413574,8,True,4.618,0.4526,0.552,0.4475,0.5987,0.4206
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4476425349712372,0.3149670958518982,0.2947368323802948,13,True,5.965,0.4015,0.529,0.5251,0.638,0.2767
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,12,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.44873902201652527,0.30633223056793213,0.29144737124443054,16,True,6.212,0.3744,0.5376,0.5201,0.6185,0.2628
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,0.5,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4802631437778473,0.3018092215061188,0.3013157844543457,6,True,3.896,0.4763,0.529,0.5226,0.5229,0.4494
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,1.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4698464870452881,0.3046875,0.2927631437778473,8,True,4.378,0.4245,0.5145,0.51,0.554,0.413
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,3.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4646381437778473,0.30263158679008484,0.2881578803062439,13,True,5.998,0.3834,0.4653,0.4925,0.638,0.3849
actor,1,1,1,geom_gcn_mask_split_id,WhiteBox-HASDC,hasdc_merged,5.0,16,0.0,5.0,sparse_cg_equivalent_layer1,hasdc_merged_plain_residual,7600,932,5,3648,2432,1520,0.4542214870452881,0.2939967215061188,0.2881578803062439,16,True,6.382,0.37,0.4624,0.4799,0.657,0.3416
actor,2,2,2,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.46655702590942383,0.33141446113586426,0.3098684251308441,6,True,3.006,,,,,
actor,2,2,2,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,1.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.46683114767074585,0.3227795958518982,0.3052631616592407,8,True,3.16,,,,,
actor,2,2,2,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,3.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.45531797409057617,0.29523026943206787,0.2973684072494507,13,True,4.64,,,,,
actor,2,2,2,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,5.0,8,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.4506579041481018,0.28988486528396606,0.30263158679008484,16,True,4.925,,,,,
actor,2,2,2,geom_gcn_mask_split_id,WhiteBox-HASDC,smooth_plain_residual,0.5,12,0.0,5.0,sparse_cg_equivalent_layer1,smooth_plain_residual,7600,932,5,3648,2432,1520,0.49424341320991516,0.32236841320991516,0.316447377204895,6,True,2.62,,,,,
