split,class_label,other_class,is_anchor_class,other_is_anchor,center_l2_distance,min_principal_angle_deg,subspace_overlap_fro,pair_confusion,conf_i_to_j,conf_j_to_i,coupling_distance_angle,coupled_confusion_score
6,3,1,1,0,0.6585247307089231,27.22726388027514,2.868070187999896,17,10,7,0.7572966772021265,0.3479471219577338
6,3,2,1,0,0.46019331414133313,23.95012285274437,3.4851907862954064,50,28,22,1.2319528621478595,1.664801165064675
6,3,4,1,0,0.42833933353139175,24.143835435011123,3.1996993841995036,44,19,25,1.3129491980133048,1.5613449922320382
7,1,0,0,1,0.41672198732662,14.627357998828774,3.3024311131122026,64,28,36,2.0353663876639967,3.3400884310383536
7,1,2,0,0,0.4459408987908487,18.652801840293687,3.2255523910371617,43,20,23,1.4915352552363876,1.6445132301324275
7,1,3,0,1,0.6378769386685883,25.893812678608025,2.5160697650146857,16,7,9,0.7511419224480057,0.3081607886966177
7,1,4,0,0,0.6313925493025906,27.83151816626268,2.5324877351602253,13,9,4,0.7060225212040115,0.23534084040133718
7,2,0,0,1,0.5740120569759892,16.28020242886242,2.9253813698752693,42,19,23,1.3276209259647345,1.4297456125774062
7,2,1,0,0,0.4459408987908487,18.652801840293687,3.2255523910371617,43,20,23,1.4915352552363876,1.6445132301324275
7,2,3,0,1,0.48669456301428393,22.580745392876075,2.9485865748039144,60,36,24,1.1289121206826425,1.7367878779732961
7,2,4,0,0,0.41156658412368957,23.185421342252756,2.980992969843098,44,20,24,1.300168995941873,1.4668573287549336
7,4,0,0,1,0.7967680316128686,27.6577525602235,2.3681572717286428,9,3,6,0.5629970469195148,0.12992239544296497
7,4,1,0,0,0.6313925493025906,27.83151816626268,2.5324877351602253,13,9,4,0.7060225212040115,0.23534084040133718
7,4,2,0,0,0.41156658412368957,23.185421342252756,2.980992969843098,44,20,24,1.300168995941873,1.4668573287549336
7,4,3,0,1,0.43173875592321287,23.60097725654968,2.8304552131859486,36,15,21,1.2175978775307368,1.1239365023360648
7,0,1,1,0,0.41672198732662,14.627357998828774,3.3024311131122026,64,28,36,2.0353663876639967,3.3400884310383536
7,0,2,1,0,0.5740120569759892,16.28020242886242,2.9253813698752693,42,19,23,1.3276209259647345,1.4297456125774062
7,0,3,1,1,0.770300981572562,24.744324044584975,2.7056323549965735,25,7,18,0.6509068752111793,0.41724799693024317
7,0,4,1,0,0.7967680316128686,27.6577525602235,2.3681572717286428,9,3,6,0.5629970469195148,0.12992239544296497
7,3,0,1,1,0.770300981572562,24.744324044584975,2.7056323549965735,25,7,18,0.6509068752111793,0.41724799693024317
7,3,1,1,0,0.6378769386685883,25.893812678608025,2.5160697650146857,16,7,9,0.7511419224480057,0.3081607886966177
7,3,2,1,0,0.48669456301428393,22.580745392876075,2.9485865748039144,60,36,24,1.1289121206826425,1.7367878779732961
7,3,4,1,0,0.43173875592321287,23.60097725654968,2.8304552131859486,36,15,21,1.2175978775307368,1.1239365023360648
8,1,0,0,1,0.41952531370130663,14.146682668550387,2.9133394340937917,70,33,37,2.213565187703489,4.364776426457585
8,1,2,0,0,0.4852121635587883,17.36598824425027,2.6830801497083803,50,22,28,1.5590998025478962,2.195915214856192
8,1,3,0,1,0.6448194451387531,27.24932802994806,2.180201679800024,16,8,8,0.7476721021178895,0.33697897560242907
8,1,4,0,0,0.6725570257322008,29.456434173059943,2.1711916063156855,15,8,7,0.6631256277682318,0.28019392722601344
8,2,0,0,1,0.5792591904807844,17.830525821526585,2.5506049969260167,36,10,26,1.2719440702756224,1.289858775490772
8,2,1,0,0,0.4852121635587883,17.36598824425027,2.6830801497083803,50,22,28,1.5590998025478962,2.195915214856192
8,2,3,0,1,0.4301766004813191,24.508705844819982,2.59777054248388,60,32,28,1.24605707695834,2.1060119610563492
8,2,4,0,0,0.40039284927984164,24.85765477245562,2.532715678814797,35,14,21,1.319953505790746,1.3013626113429893
8,4,0,0,1,0.7917368862034584,28.009211033276973,2.1863391940704737,15,5,10,0.5924113140479409,0.25031463973856655
8,4,1,0,0,0.6725570257322008,29.456434173059943,2.1711916063156855,15,8,7,0.6631256277682318,0.28019392722601344
